binName, varBitrate, varBitrateSpatial, varMV, varMVSpatial, varMvdBits, varMvdBitsSpatial
test/1.bin,11.819,21.897,8.874,9.109,0.255,0.296
test/1.bin,10.368,19.433,8.765,9.058,0.250,0.258
test/1.bin,9.081,17.172,8.862,9.218,0.244,0.233
test/1.bin,7.979,15.188,8.890,9.237,0.233,0.216
test/1.bin,6.974,13.455,8.922,9.336,0.225,0.207
test/1.bin,6.043,11.865,8.959,9.456,0.217,0.197
test/1.bin,5.236,10.490,9.136,9.724,0.208,0.189
test/1.bin,4.560,9.256,9.078,9.618,0.198,0.180
test/1.bin,3.944,8.140,9.168,9.775,0.190,0.174
test/1.bin,3.399,7.138,9.387,10.207,0.185,0.171
test/1.bin,2.922,6.258,9.430,10.277,0.170,0.164
test/1.bin,2.563,5.474,9.307,9.849,0.156,0.161
test/1.bin,2.197,4.794,9.614,10.599,0.146,0.152
test/1.bin,1.873,4.185,9.617,10.743,0.135,0.145
test/1.bin,1.610,3.665,9.646,10.830,0.122,0.132
test/1.bin,1.376,3.202,9.674,10.743,0.107,0.122
test/1.bin,1.171,2.801,9.598,10.569,0.097,0.111
test/1.bin,0.991,2.445,9.775,10.970,0.085,0.102
test/1.bin,0.839,2.151,10.006,11.676,0.074,0.092
test/1.bin,0.709,1.877,10.104,11.861,0.066,0.082
test/1.bin,0.595,1.626,10.096,11.991,0.059,0.072
test/1.bin,0.503,1.419,10.230,12.327,0.053,0.065
test/1.bin,0.421,1.228,10.428,12.740,0.048,0.059
test/1.bin,0.351,1.063,10.474,12.469,0.042,0.052
test/1.bin,0.295,0.935,10.584,12.789,0.038,0.046
test/1.bin,0.249,0.830,10.538,13.131,0.033,0.040
test/1.bin,0.214,0.713,10.175,12.969,0.029,0.034
test/1.bin,0.178,0.632,10.249,13.205,0.025,0.031
test/1.bin,0.150,0.546,10.069,13.226,0.022,0.027
test/1.bin,0.127,0.477,10.151,13.363,0.019,0.024
test/1.bin,0.110,0.418,9.876,13.265,0.016,0.021
test/1.bin,0.089,0.366,10.089,13.995,0.015,0.019
test/1.bin,0.076,0.320,9.804,14.082,0.013,0.016
test/1.bin,13.974,23.043,5.281,7.975,0.269,0.229
test/1.bin,12.384,20.828,5.216,8.076,0.265,0.207
test/1.bin,10.989,18.731,5.155,7.958,0.260,0.187
test/1.bin,9.798,16.867,5.191,8.038,0.255,0.176
test/1.bin,8.606,15.165,5.247,8.457,0.247,0.170
test/1.bin,7.498,13.606,5.225,8.884,0.240,0.162
test/1.bin,6.551,12.186,5.393,8.885,0.234,0.161
test/1.bin,5.709,10.854,5.317,8.915,0.225,0.156
test/1.bin,4.928,9.655,5.389,8.958,0.216,0.151
test/1.bin,4.285,8.560,5.436,8.933,0.208,0.150
test/1.bin,3.660,7.579,5.428,9.302,0.192,0.146
test/1.bin,3.294,6.632,5.132,8.734,0.174,0.145
test/1.bin,2.790,5.886,5.598,9.113,0.162,0.137
test/1.bin,2.378,5.179,5.366,9.052,0.147,0.129
test/1.bin,2.034,4.573,5.686,9.835,0.131,0.121
test/1.bin,1.750,4.004,5.733,9.634,0.115,0.111
test/1.bin,1.482,3.516,5.802,10.612,0.099,0.099
test/1.bin,1.242,3.084,6.024,12.103,0.087,0.091
test/1.bin,1.065,2.707,6.817,15.123,0.075,0.080
test/1.bin,0.895,2.366,7.214,15.347,0.067,0.072
test/1.bin,0.758,2.060,7.962,18.551,0.060,0.063
test/1.bin,0.638,1.778,6.544,13.415,0.053,0.057
test/1.bin,0.545,1.565,7.198,14.581,0.047,0.051
