sequence_name,FSIG_a_mean,FSIG_a_var,FSIG_lt_mean,FSIG_lt_var,FSIG_lb_mean,FSIG_lb_var,FSIG_rt_mean,FSIG_rt_var,FSIG_rb_mean,FSIG_rb_var
Chillin_Like_a_Villain_(From_Descendants_2)_000_0_125_854x480_HW_Q3_CRF10.bin,3.683053,97.66074,7.253357,339.1285,5.475266,53.38325,5.32103,322.1571,4.711892,174.4467
Chillin_Like_a_Villain_(From_Descendants_2)_000_1000_1125_854x480_HW_Q3_CRF10.bin,6.313653,95.51933,12.81555,737.0988,13.07876,593.4131,8.333638,144.396,10.79322,160.9017
Chillin_Like_a_Villain_(From_Descendants_2)_000_1125_1250_854x480_HW_Q3_CRF10.bin,4.445713,49.22589,7.427745,150.6629,10.0073,148.7433,6.539929,58.6276,9.491155,446.5194
Chillin_Like_a_Villain_(From_Descendants_2)_000_1250_1375_854x480_HW_Q3_CRF10.bin,5.152697,175.2998,7.298548,85.12077,12.98145,768.6609,6.202387,218,8.617017,369.8865
Chillin_Like_a_Villain_(From_Descendants_2)_000_125_250_854x480_HW_Q3_CRF10.bin,7.718057,182.9597,12.36741,552.9014,12.73622,213.4886,12.07743,705.8856,11.45488,350.9487
Chillin_Like_a_Villain_(From_Descendants_2)_000_1375_1500_854x480_HW_Q3_CRF10.bin,6.554258,234.7897,13.03979,150.6337,11.35579,680.7334,8.471417,249.3021,7.441738,356.0804
Chillin_Like_a_Villain_(From_Descendants_2)_000_1500_1625_854x480_HW_Q3_CRF10.bin,11.05664,458.9922,14.98976,805.948,16.88714,1276.132,17.98247,720.9829,18.43166,878.7153
Chillin_Like_a_Villain_(From_Descendants_2)_000_1625_1750_854x480_HW_Q3_CRF10.bin,11.14091,343.155,19.08029,245.0816,20.22218,662.1081,14.18017,317.7609,16.91311,1186.23
Chillin_Like_a_Villain_(From_Descendants_2)_000_1750_1875_854x480_HW_Q3_CRF10.bin,11.07809,327.7631,13.3329,568.828,18.91921,690.6863,16.11789,576.5212,22.54569,795.4773
Chillin_Like_a_Villain_(From_Descendants_2)_000_1875_2000_854x480_HW_Q3_CRF10.bin,7.979382,350.4168,15.81241,1277.132,14.98345,709.9044,12.61451,930.0369,12.17959,608.3468
Chillin_Like_a_Villain_(From_Descendants_2)_000_2000_2125_854x480_HW_Q3_CRF10.bin,7.467597,275.7278,13.9216,1344.844,12.02207,591.8767,11.76855,708.8682,12.54625,545.0783
Chillin_Like_a_Villain_(From_Descendants_2)_000_2125_2250_854x480_HW_Q3_CRF10.bin,8.383862,688.8937,13.43007,1458.8,12.54214,870.0415,12.79076,942.9611,14.15882,1085.655
Chillin_Like_a_Villain_(From_Descendants_2)_000_2250_2375_854x480_HW_Q3_CRF10.bin,6.866598,218.0928,11.23117,372.0269,12.26279,414.6818,10.54685,310.3604,11.11026,227.9636
Chillin_Like_a_Villain_(From_Descendants_2)_000_2375_2500_854x480_HW_Q3_CRF10.bin,14.93549,414.5639,25.66951,1116.061,27.21975,1523.437,24.28156,903.0814,23.05778,577.2808
Chillin_Like_a_Villain_(From_Descendants_2)_000_2500_2625_854x480_HW_Q3_CRF10.bin,10.90323,523.119,20.70703,1341.985,17.2158,342.3722,15.66377,1152.98,19.50443,834.422
Chillin_Like_a_Villain_(From_Descendants_2)_000_250_375_854x480_HW_Q3_CRF10.bin,8.08475,445.3748,9.808294,752.3657,9.652364,766.8376,12.49278,1370.51,17.28039,1772.036
Chillin_Like_a_Villain_(From_Descendants_2)_000_2625_2750_854x480_HW_Q3_CRF10.bin,9.340666,355.9478,16.69045,927.6968,14.79809,648.4716,13.04752,708.1605,16.87203,753.904
Chillin_Like_a_Villain_(From_Descendants_2)_000_2750_2875_854x480_HW_Q3_CRF10.bin,4.597828,155.0257,7.512115,288.9272,8.824944,744.2086,5.927071,39.7808,6.286915,85.28757
Chillin_Like_a_Villain_(From_Descendants_2)_000_2875_3000_854x480_HW_Q3_CRF10.bin,7.150064,288.0102,11.34555,747.0325,14.35759,1496.003,8.557798,176.9652,10.42461,275.8618
Chillin_Like_a_Villain_(From_Descendants_2)_000_375_500_854x480_HW_Q3_CRF10.bin,15.76709,377.2565,25.48676,1071.017,28.57176,887.0074,24.4751,1441.618,29.43011,1334.519
Chillin_Like_a_Villain_(From_Descendants_2)_000_500_625_854x480_HW_Q3_CRF10.bin,12.32249,516.6199,22.91602,1514.825,23.56006,1061.847,21.13094,897.5512,20.96025,1038.395
Chillin_Like_a_Villain_(From_Descendants_2)_000_625_750_854x480_HW_Q3_CRF10.bin,12.75606,307.7991,18.76143,1116.954,20.83693,678.0019,19.51822,1011.289,16.51676,666.129
Chillin_Like_a_Villain_(From_Descendants_2)_000_750_875_854x480_HW_Q3_CRF10.bin,9.545691,275.1697,15.2961,636.2766,16.47777,372.0774,15.35356,1112.598,18.86196,708.7197
Chillin_Like_a_Villain_(From_Descendants_2)_000_875_1000_854x480_HW_Q3_CRF10.bin,10.79525,195.2657,13.39151,316.9362,21.60139,532.0934,14.35065,437.8206,22.77137,864.8403
Chillin_Like_a_Villain_(From_Descendants_2)_001_0_125_854x480_HW_Q3_CRF10.bin,10.08066,128.9903,13.22463,379.0471,15.07625,389.9332,21.70806,229.0875,21.41365,474.2574
Chillin_Like_a_Villain_(From_Descendants_2)_001_1000_1125_854x480_HW_Q3_CRF10.bin,7.394038,209.3244,14.62334,681.3453,12.43037,799.947,12.92106,505.3281,12.61225,717.0444
Chillin_Like_a_Villain_(From_Descendants_2)_001_1125_1250_854x480_HW_Q3_CRF10.bin,5.012513,207.7853,12.21034,1217.475,9.239287,948.0419,9.728024,694.8307,7.338123,720.7409
Chillin_Like_a_Villain_(From_Descendants_2)_001_1250_1375_854x480_HW_Q3_CRF10.bin,4.435923,4.260719,8.510057,15.55197,6.605114,15.13457,8.758907,18.99255,7.531228,27.81561
Chillin_Like_a_Villain_(From_Descendants_2)_001_125_250_854x480_HW_Q3_CRF10.bin,14.05277,258.1793,27.34718,825.3468,27.31994,839.1804,27.42732,660.0457,24.49078,686.6993
Chillin_Like_a_Villain_(From_Descendants_2)_001_1375_1500_854x480_HW_Q3_CRF10.bin,5.996782,9.623212,11.25612,39.80819,8.526048,35.63182,10.75401,23.96671,11.32498,68.07837
Chillin_Like_a_Villain_(From_Descendants_2)_001_1500_1625_854x480_HW_Q3_CRF10.bin,6.275075,1096.515,8.809578,1774.186,5.800751,672.5437,11.90428,2359.033,8.929533,479.1352
Chillin_Like_a_Villain_(From_Descendants_2)_001_1625_1750_854x480_HW_Q3_CRF10.bin,0.1068481,0.1320388,0,0,0.2484518,0.719065,0,0,0.2980734,1.029074
Chillin_Like_a_Villain_(From_Descendants_2)_001_1750_1875_854x480_HW_Q3_CRF10.bin,0.1068481,0.1320388,0,0,0.2484518,0.719065,0,0,0.2980734,1.029074
Chillin_Like_a_Villain_(From_Descendants_2)_001_1875_2000_854x480_HW_Q3_CRF10.bin,0.1068481,0.1320388,0,0,0.2484518,0.719065,0,0,0.2980734,1.029074
